day,queries,ctr,mrr,no_click_rate,possible_reformulation_rate
2006-04-14,727324,1.0,0.7954988864065139,0.0,0.4263959390862944
2006-04-15,353187,1.0,0.7499962026275708,0.0,0.4627831715210356
2006-04-16,444015,1.0,0.7956728605112536,0.0,0.3903133903133903
2006-04-17,1022700,1.0,inf,0.0,0.4271047227926078
2006-04-18,723200,1.0,inf,0.0,0.39823008849557523
2006-04-19,742105,1.0,inf,0.0,0.44395604395604393
2006-04-20,591175,1.0,0.7530623701173769,0.0,0.43058823529411766
2006-04-21,732044,1.0,inf,0.0,0.4151376146788991
2006-04-22,635592,1.0,inf,0.0,0.4272300469483568
2006-04-23,646242,1.0,inf,0.0,0.431924882629108
2006-04-24,953298,1.0,inf,0.0,0.43824701195219123
2006-04-25,837292,1.0,inf,0.0,0.4091858037578288
2006-04-26,754227,1.0,inf,0.0,0.42548596112311016
2006-04-27,629140,1.0,inf,0.0,0.4650602409638554
2006-04-28,569236,1.0,inf,0.0,0.36386138613861385
2006-04-29,576190,1.0,0.7956617138694589,0.0,0.4659400544959128
2006-04-30,505422,1.0,0.8053646806193635,0.0,0.4315245478036176
2006-05-01,810004,1.0,inf,0.0,0.4178794178794179
2006-05-02,794281,1.0,inf,0.0,0.41202672605790647
2006-05-03,1059450,1.0,inf,0.0,0.4247619047619048
2006-05-04,1450567,1.0,inf,0.0,0.4100486223662885
2006-05-05,973228,1.0,inf,0.0,0.43378119001919385
2006-05-06,1006510,1.0,inf,0.0,0.4063745019920319
2006-05-07,1266580,1.0,inf,0.0,0.42568807339449544
2006-05-08,1448475,1.0,inf,0.0,0.4478330658105939
2006-05-09,1245044,1.0,inf,0.0,0.41778523489932884
2006-05-10,1098432,1.0,inf,0.0,0.390625
2006-05-11,1283906,1.0,inf,0.0,0.41638795986622074
2006-05-12,1220496,1.0,inf,0.0,0.38120567375886527
2006-05-13,1134243,1.0,inf,0.0,0.4444444444444444
2006-05-14,868560,1.0,inf,0.0,0.4531914893617021
2006-05-15,1322372,1.0,inf,0.0,0.46141479099678456
2006-05-16,1178619,1.0,inf,0.0,0.44189852700491
2006-05-17,48,1.0,0.625,0.0,0.0
2006-05-18,1341760,1.0,inf,0.0,0.42857142857142855
2006-05-19,1052000,1.0,inf,0.0,0.435361216730038
2006-05-20,776426,1.0,inf,0.0,0.4608294930875576
2006-05-21,1210680,1.0,0.836588397566717,0.0,0.423728813559322
2006-05-22,1742697,1.0,inf,0.0,0.4497528830313015
2006-05-23,1196052,1.0,inf,0.0,0.4370629370629371
2006-05-24,1184658,1.0,inf,0.0,0.421792618629174
2006-05-25,1199024,1.0,inf,0.0,0.4142335766423358
2006-05-26,1148928,1.0,inf,0.0,0.390625
2006-05-27,640000,1.0,inf,0.0,0.4275
2006-05-28,667071,1.0,inf,0.0,0.4444444444444444
2006-05-29,1100112,1.0,0.8111169867523107,0.0,0.44308943089430897
2006-05-30,1043420,1.0,inf,0.0,0.3968871595330739
2006-05-31,1338640,1.0,inf,0.0,0.37954939341421146
